Node,DegreeWeighted,Neighborhood,ConnectiveRedundancyWeighted,AvgShortestPathWeighted
197,31,22,0.290323,0.833593
198,21,16,0.238095,0.910662
199,13,12,0.076923,1.234549
200,5,4,0.200000,1.119929
201,6,2,0.666667,0.800414
202,13,5,0.615385,0.789331
203,3,3,0.000000,1.522316
204,3,3,0.000000,1.514978
205,10,10,0.000000,1.457196
206,18,18,0.000000,1.385363
207,10,10,0.000000,1.522886
208,17,9,0.470588,0.874158
209,13,3,0.769231,0.818796
210,5,3,0.400000,0.967327
211,9,5,0.444444,0.957477
212,5,4,0.200000,1.287534
213,6,3,0.500000,1.024190
214,2,1,0.500000,1.133608
215,4,1,0.750000,0.884766
216,5,4,0.200000,1.062458
