Node,OccCentrality,Deg_L0,Rel_L0,ExRel_L0,Deg_L1,Rel_L1,ExRel_L1,Deg_L2,Rel_L2,ExRel_L2,Deg_L3,Rel_L3,ExRel_L3,Deg_L4,Rel_L4,ExRel_L4,Deg_L5,Rel_L5,ExRel_L5,Deg_L6,Rel_L6,ExRel_L6,Deg_L7,Rel_L7,ExRel_L7,Deg_L8,Rel_L8,ExRel_L8,Deg_L9,Rel_L9,ExRel_L9,Deg_L10,Rel_L10,ExRel_L10,Deg_L11,Rel_L11,ExRel_L11,Deg_L12,Rel_L12,ExRel_L12,Deg_L13,Rel_L13,ExRel_L13,Deg_L14,Rel_L14,ExRel_L14,Deg_L15,Rel_L15,ExRel_L15,Deg_L16,Rel_L16,ExRel_L16,Deg_L17,Rel_L17,ExRel_L17,Deg_L18,Rel_L18,ExRel_L18,Deg_L19,Rel_L19,ExRel_L19,Deg_L20,Rel_L20,ExRel_L20,Deg_L21,Rel_L21,ExRel_L21,Deg_L22,Rel_L22,ExRel_L22,Deg_L23,Rel_L23,ExRel_L23,Deg_L24,Rel_L24,ExRel_L24,Deg_L25,Rel_L25,ExRel_L25,Deg_L26,Rel_L26,ExRel_L26,Deg_L27,Rel_L27,ExRel_L27,Deg_L28,Rel_L28,ExRel_L28,Deg_L29,Rel_L29,ExRel_L29,Deg_L30,Rel_L30,ExRel_L30,Deg_L31,Rel_L31,ExRel_L31,Deg_L32,Rel_L32,ExRel_L32,Deg_L33,Rel_L33,ExRel_L33,Deg_L34,Rel_L34,ExRel_L34,Deg_L35,Rel_L35,ExRel_L35,Deg_L36,Rel_L36,ExRel_L36,Deg_L37,Rel_L37,ExRel_L37,Deg_L38,Rel_L38,ExRel_L38,Deg_L39,Rel_L39,ExRel_L39,Deg_L40,Rel_L40,ExRel_L40,Deg_L41,Rel_L41,ExRel_L41,Deg_L42,Rel_L42,ExRel_L42
130,0.003830,0,0.000000,0.000000,0,0.000000,0.000000,1,0.058824,0.058824,0,0.000000,0.000000,1,0.058824,0.000000,2,0.117647,0.058824,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,2,0.117647,0.000000,3,0.176471,0.058824,0,0.000000,0.000000,4,0.235294,0.117647,0,0.000000,0.000000,1,0.058824,0.000000,1,0.058824,0.058824,1,0.058824,0.000000,0,0.000000,0.000000,3,0.176471,0.117647,0,0.000000,0.000000,1,0.058824,0.000000,0,0.000000,0.000000,2,0.117647,0.000000,0,0.000000,0.000000,1,0.058824,0.000000,0,0.000000,0.000000,1,0.058824,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,3,0.176471,0.058824,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.058824,0.058824,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,2,0.117647,0.058824,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
131,0.003960,0,0.000000,0.000000,1,0.062500,0.062500,0,0.000000,0.000000,1,0.062500,0.062500,1,0.062500,0.000000,1,0.062500,0.000000,1,0.062500,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,4,0.250000,0.000000,0,0.000000,0.000000,1,0.062500,0.000000,2,0.125000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,3,0.187500,0.125000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.062500,0.000000,1,0.062500,0.000000,2,0.125000,0.000000,1,0.062500,0.000000,2,0.125000,0.062500,0,0.000000,0.000000,1,0.062500,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.062500,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.062500,0.000000,1,0.062500,0.062500,0,0.000000,0.000000,1,0.062500,0.062500,1,0.062500,0.000000,0,0.000000,0.000000,1,0.062500,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
132,0.005915,1,0.038462,0.000000,1,0.038462,0.000000,3,0.115385,0.000000,2,0.076923,0.000000,2,0.076923,0.000000,2,0.076923,0.000000,0,0.000000,0.000000,2,0.076923,0.000000,1,0.038462,0.038462,6,0.230769,0.000000,3,0.115385,0.000000,2,0.076923,0.000000,4,0.153846,0.038462,0,0.000000,0.000000,1,0.038462,0.000000,3,0.115385,0.000000,7,0.269231,0.115385,1,0.038462,0.000000,3,0.115385,0.038462,0,0.000000,0.000000,3,0.115385,0.000000,2,0.076923,0.000000,3,0.115385,0.000000,0,0.000000,0.000000,3,0.115385,0.000000,0,0.000000,0.000000,4,0.153846,0.000000,4,0.153846,0.038462,1,0.038462,0.000000,1,0.038462,0.000000,4,0.153846,0.000000,0,0.000000,0.000000,2,0.076923,0.000000,2,0.076923,0.000000,1,0.038462,0.000000,1,0.038462,0.038462,1,0.038462,0.000000,0,0.000000,0.000000,1,0.038462,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
133,0.003210,1,0.071429,0.000000,1,0.071429,0.000000,1,0.071429,0.071429,0,0.000000,0.000000,2,0.142857,0.000000,2,0.142857,0.000000,0,0.000000,0.000000,2,0.142857,0.000000,0,0.000000,0.000000,2,0.142857,0.000000,1,0.071429,0.071429,2,0.142857,0.000000,3,0.214286,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.071429,0.000000,1,0.071429,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,2,0.142857,0.000000,1,0.071429,0.000000,0,0.000000,0.000000,1,0.071429,0.000000,1,0.071429,0.000000,0,0.000000,0.000000,1,0.071429,0.000000,1,0.071429,0.000000,0,0.000000,0.000000,1,0.071429,0.000000,1,0.071429,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,3,0.214286,0.071429,1,0.071429,0.000000,3,0.214286,0.142857,0,0.000000,0.000000,0,0.000000,0.000000,1,0.071429,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
134,0.006055,1,0.043478,0.000000,1,0.043478,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,2,0.086957,0.000000,2,0.086957,0.000000,1,0.043478,0.000000,2,0.086957,0.000000,0,0.000000,0.000000,2,0.086957,0.000000,3,0.130435,0.000000,2,0.086957,0.000000,5,0.217391,0.043478,0,0.000000,0.000000,0,0.000000,0.000000,1,0.043478,0.000000,2,0.086957,0.000000,0,0.000000,0.000000,2,0.086957,0.000000,0,0.000000,0.000000,3,0.130435,0.000000,1,0.043478,0.000000,2,0.086957,0.000000,0,0.000000,0.000000,3,0.130435,0.000000,0,0.000000,0.000000,1,0.043478,0.000000,6,0.260870,0.086957,0,0.000000,0.000000,0,0.000000,0.000000,4,0.173913,0.043478,7,0.304348,0.086957,3,0.130435,0.000000,6,0.260870,0.043478,4,0.173913,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
135,0.011370,0,0.000000,0.000000,1,0.022222,0.022222,4,0.088889,0.000000,1,0.022222,0.022222,2,0.044444,0.000000,6,0.133333,0.000000,4,0.088889,0.044444,2,0.044444,0.000000,1,0.022222,0.000000,9,0.200000,0.000000,0,0.000000,0.000000,5,0.111111,0.000000,9,0.200000,0.000000,0,0.000000,0.000000,1,0.022222,0.000000,4,0.088889,0.000000,1,0.022222,0.022222,1,0.022222,0.000000,4,0.088889,0.000000,0,0.000000,0.000000,3,0.066667,0.000000,5,0.111111,0.000000,0,0.000000,0.000000,1,0.022222,0.000000,4,0.088889,0.022222,0,0.000000,0.000000,8,0.177778,0.022222,0,0.000000,0.000000,0,0.000000,0.000000,7,0.155556,0.022222,13,0.288889,0.022222,1,0.022222,0.000000,4,0.088889,0.000000,16,0.355556,0.088889,0,0.000000,0.000000,4,0.088889,0.000000,1,0.022222,0.000000,2,0.044444,0.000000,10,0.222222,0.066667,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.022222,0.000000
136,0.006135,0,0.000000,0.000000,1,0.031250,0.031250,1,0.031250,0.000000,1,0.031250,0.000000,2,0.062500,0.031250,1,0.031250,0.031250,1,0.031250,0.000000,1,0.031250,0.000000,0,0.000000,0.000000,3,0.093750,0.000000,7,0.218750,0.156250,2,0.062500,0.000000,3,0.093750,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,4,0.125000,0.000000,1,0.031250,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.031250,0.000000,2,0.062500,0.031250,6,0.187500,0.000000,2,0.062500,0.000000,2,0.062500,0.000000,2,0.062500,0.000000,0,0.000000,0.000000,3,0.093750,0.000000,1,0.031250,0.000000,0,0.000000,0.000000,3,0.093750,0.062500,3,0.093750,0.000000,5,0.156250,0.093750,2,0.062500,0.000000,2,0.062500,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.031250,0.031250,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
137,0.010325,0,0.000000,0.000000,1,0.018182,0.018182,5,0.090909,0.036364,3,0.054545,0.000000,2,0.036364,0.000000,2,0.036364,0.000000,5,0.090909,0.000000,2,0.036364,0.000000,0,0.000000,0.000000,24,0.436364,0.018182,11,0.200000,0.072727,3,0.054545,0.000000,31,0.563636,0.127273,2,0.036364,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,3,0.054545,0.018182,1,0.018182,0.000000,6,0.109091,0.018182,0,0.000000,0.000000,3,0.054545,0.000000,0,0.000000,0.000000,2,0.036364,0.000000,0,0.000000,0.000000,4,0.072727,0.000000,1,0.018182,0.000000,1,0.018182,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,4,0.072727,0.018182,0,0.000000,0.000000,1,0.018182,0.000000,0,0.000000,0.000000,2,0.036364,0.000000,5,0.090909,0.018182,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.018182,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
138,0.005475,0,0.000000,0.000000,1,0.052632,0.052632,0,0.000000,0.000000,1,0.052632,0.000000,2,0.105263,0.000000,2,0.105263,0.000000,2,0.105263,0.052632,2,0.105263,0.000000,0,0.000000,0.000000,6,0.315789,0.000000,3,0.157895,0.000000,2,0.105263,0.000000,3,0.157895,0.000000,0,0.000000,0.000000,2,0.105263,0.105263,2,0.105263,0.000000,2,0.105263,0.000000,1,0.052632,0.000000,1,0.052632,0.052632,0,0.000000,0.000000,2,0.105263,0.052632,3,0.157895,0.000000,2,0.105263,0.000000,3,0.157895,0.000000,2,0.105263,0.000000,0,0.000000,0.000000,5,0.263158,0.000000,2,0.105263,0.000000,2,0.105263,0.000000,2,0.105263,0.000000,1,0.052632,0.000000,1,0.052632,0.000000,3,0.157895,0.000000,2,0.105263,0.000000,1,0.052632,0.000000,1,0.052632,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.052632,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
139,0.005010,0,0.000000,0.000000,1,0.038462,0.038462,1,0.038462,0.038462,4,0.153846,0.038462,2,0.076923,0.000000,1,0.038462,0.000000,2,0.076923,0.076923,2,0.076923,0.000000,0,0.000000,0.000000,1,0.038462,0.000000,2,0.076923,0.000000,1,0.038462,0.000000,8,0.307692,0.153846,0,0.000000,0.000000,2,0.076923,0.000000,1,0.038462,0.000000,2,0.076923,0.038462,0,0.000000,0.000000,1,0.038462,0.038462,0,0.000000,0.000000,1,0.038462,0.000000,1,0.038462,0.000000,5,0.192308,0.076923,1,0.038462,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,3,0.115385,0.000000,1,0.038462,0.000000,1,0.038462,0.000000,1,0.038462,0.000000,3,0.115385,0.038462,3,0.115385,0.000000,0,0.000000,0.000000,1,0.038462,0.038462,1,0.038462,0.000000,1,0.038462,0.000000,1,0.038462,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
