Node,OccCentrality,TotalDegree,AvgRelevance,AvgExclusiveRelevance,Deg_L0,Rel_L0,ExRel_L0,Deg_L1,Rel_L1,ExRel_L1,Deg_L2,Rel_L2,ExRel_L2,Deg_L3,Rel_L3,ExRel_L3,Deg_L4,Rel_L4,ExRel_L4,Deg_L5,Rel_L5,ExRel_L5,Deg_L6,Rel_L6,ExRel_L6,Deg_L7,Rel_L7,ExRel_L7,Deg_L8,Rel_L8,ExRel_L8,Deg_L9,Rel_L9,ExRel_L9,Deg_L10,Rel_L10,ExRel_L10,Deg_L11,Rel_L11,ExRel_L11,Deg_L12,Rel_L12,ExRel_L12,Deg_L13,Rel_L13,ExRel_L13,Deg_L14,Rel_L14,ExRel_L14,Deg_L15,Rel_L15,ExRel_L15,Deg_L16,Rel_L16,ExRel_L16,Deg_L17,Rel_L17,ExRel_L17,Deg_L18,Rel_L18,ExRel_L18,Deg_L19,Rel_L19,ExRel_L19,Deg_L20,Rel_L20,ExRel_L20,Deg_L21,Rel_L21,ExRel_L21,Deg_L22,Rel_L22,ExRel_L22,Deg_L23,Rel_L23,ExRel_L23,Deg_L24,Rel_L24,ExRel_L24,Deg_L25,Rel_L25,ExRel_L25,Deg_L26,Rel_L26,ExRel_L26,Deg_L27,Rel_L27,ExRel_L27,Deg_L28,Rel_L28,ExRel_L28,Deg_L29,Rel_L29,ExRel_L29,Deg_L30,Rel_L30,ExRel_L30,Deg_L31,Rel_L31,ExRel_L31,Deg_L32,Rel_L32,ExRel_L32,Deg_L33,Rel_L33,ExRel_L33,Deg_L34,Rel_L34,ExRel_L34,Deg_L35,Rel_L35,ExRel_L35,Deg_L36,Rel_L36,ExRel_L36,Deg_L37,Rel_L37,ExRel_L37,Deg_L38,Rel_L38,ExRel_L38,Deg_L39,Rel_L39,ExRel_L39,Deg_L40,Rel_L40,ExRel_L40,Deg_L41,Rel_L41,ExRel_L41,Deg_L42,Rel_L42,ExRel_L42
119,0.011970,80,0.0286,0.0211,0,0.0000,0.0000,1,0.0154,0.0154,1,0.0154,0.0154,4,0.0615,0.0308,2,0.0308,0.0000,1,0.0154,0.0154,49,0.7538,0.7538,3,0.0462,0.0000,2,0.0308,0.0154,2,0.0308,0.0000,0,0.0000,0.0000,1,0.0154,0.0000,2,0.0308,0.0000,0,0.0000,0.0000,1,0.0154,0.0154,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,2,0.0308,0.0154,1,0.0154,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,3,0.0462,0.0154,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0154,0.0000,0,0.0000,0.0000,2,0.0308,0.0154,1,0.0154,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0154,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
135,0.011370,135,0.0698,0.0083,0,0.0000,0.0000,1,0.0222,0.0222,4,0.0889,0.0000,1,0.0222,0.0222,2,0.0444,0.0000,6,0.1333,0.0000,4,0.0889,0.0444,2,0.0444,0.0000,1,0.0222,0.0000,9,0.2000,0.0000,0,0.0000,0.0000,5,0.1111,0.0000,9,0.2000,0.0000,0,0.0000,0.0000,1,0.0222,0.0000,4,0.0889,0.0000,1,0.0222,0.0222,1,0.0222,0.0000,4,0.0889,0.0000,0,0.0000,0.0000,3,0.0667,0.0000,5,0.1111,0.0000,0,0.0000,0.0000,1,0.0222,0.0000,4,0.0889,0.0222,0,0.0000,0.0000,8,0.1778,0.0222,0,0.0000,0.0000,0,0.0000,0.0000,7,0.1556,0.0222,13,0.2889,0.0222,1,0.0222,0.0000,4,0.0889,0.0000,16,0.3556,0.0889,0,0.0000,0.0000,4,0.0889,0.0000,1,0.0222,0.0000,2,0.0444,0.0000,10,0.2222,0.0667,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0222,0.0000
129,0.011225,133,0.0412,0.0087,1,0.0133,0.0000,1,0.0133,0.0000,2,0.0267,0.0133,1,0.0133,0.0000,7,0.0933,0.0000,7,0.0933,0.0000,2,0.0267,0.0267,33,0.4400,0.0133,0,0.0000,0.0000,55,0.7333,0.2400,1,0.0133,0.0000,1,0.0133,0.0000,5,0.0667,0.0267,0,0.0000,0.0000,1,0.0133,0.0133,0,0.0000,0.0000,1,0.0133,0.0133,0,0.0000,0.0000,1,0.0133,0.0000,0,0.0000,0.0000,5,0.0667,0.0267,0,0.0000,0.0000,1,0.0133,0.0000,0,0.0000,0.0000,1,0.0133,0.0000,0,0.0000,0.0000,1,0.0133,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,3,0.0400,0.0000,1,0.0133,0.0000,0,0.0000,0.0000,1,0.0133,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0133,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
116,0.011190,108,0.0571,0.0095,3,0.0682,0.0000,4,0.0909,0.0227,2,0.0455,0.0000,2,0.0455,0.0000,2,0.0455,0.0000,4,0.0909,0.0455,0,0.0000,0.0000,6,0.1364,0.0000,8,0.1818,0.0455,9,0.2045,0.0227,3,0.0682,0.0227,0,0.0000,0.0000,15,0.3409,0.0909,0,0.0000,0.0000,1,0.0227,0.0000,2,0.0455,0.0000,2,0.0455,0.0227,1,0.0227,0.0000,1,0.0227,0.0000,0,0.0000,0.0000,3,0.0682,0.0000,1,0.0227,0.0000,1,0.0227,0.0227,1,0.0227,0.0000,2,0.0455,0.0000,0,0.0000,0.0000,1,0.0227,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,4,0.0909,0.0000,5,0.1136,0.0000,1,0.0227,0.0000,4,0.0909,0.0227,6,0.1364,0.0227,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,3,0.0682,0.0227,2,0.0455,0.0455,4,0.0909,0.0000,0,0.0000,0.0000,5,0.1136,0.0000
143,0.011175,103,0.0499,0.0126,0,0.0000,0.0000,2,0.0417,0.0208,4,0.0833,0.0208,5,0.1042,0.0000,2,0.0417,0.0000,4,0.0833,0.0208,1,0.0208,0.0208,2,0.0417,0.0000,0,0.0000,0.0000,5,0.1042,0.0000,4,0.0833,0.0208,3,0.0625,0.0000,8,0.1667,0.0625,0,0.0000,0.0000,4,0.0833,0.0208,4,0.0833,0.0208,6,0.1250,0.0625,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,15,0.3125,0.1042,3,0.0625,0.0000,4,0.0833,0.0417,0,0.0000,0.0000,4,0.0833,0.0000,1,0.0208,0.0000,1,0.0208,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0208,0.0000,4,0.0833,0.0208,0,0.0000,0.0000,1,0.0208,0.0000,8,0.1667,0.0625,0,0.0000,0.0000,2,0.0417,0.0208,0,0.0000,0.0000,0,0.0000,0.0000,5,0.1042,0.0208,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
41,0.010995,158,0.0782,0.0054,1,0.0213,0.0213,2,0.0426,0.0213,1,0.0213,0.0000,9,0.1915,0.0213,1,0.0213,0.0000,0,0.0000,0.0000,2,0.0426,0.0426,4,0.0851,0.0000,1,0.0213,0.0000,3,0.0638,0.0000,1,0.0213,0.0213,17,0.3617,0.0000,10,0.2128,0.0000,6,0.1277,0.0000,11,0.2340,0.0638,1,0.0213,0.0000,0,0.0000,0.0000,4,0.0851,0.0000,7,0.1489,0.0000,2,0.0426,0.0000,3,0.0638,0.0000,0,0.0000,0.0000,9,0.1915,0.0426,9,0.1915,0.0000,8,0.1702,0.0000,2,0.0426,0.0000,1,0.0213,0.0000,0,0.0000,0.0000,2,0.0426,0.0000,2,0.0426,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,19,0.4043,0.0000,5,0.1064,0.0000,4,0.0851,0.0000,11,0.2340,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
146,0.010755,121,0.0531,0.0105,1,0.0189,0.0000,1,0.0189,0.0000,3,0.0566,0.0189,4,0.0755,0.0377,2,0.0377,0.0000,4,0.0755,0.0000,0,0.0000,0.0000,3,0.0566,0.0000,1,0.0189,0.0000,5,0.0943,0.0189,4,0.0755,0.0189,1,0.0189,0.0000,9,0.1698,0.0566,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,2,0.0377,0.0000,1,0.0189,0.0000,3,0.0566,0.0377,0,0.0000,0.0000,7,0.1321,0.0189,4,0.0755,0.0000,4,0.0755,0.0377,2,0.0377,0.0000,5,0.0943,0.0000,0,0.0000,0.0000,2,0.0377,0.0000,2,0.0377,0.0000,1,0.0189,0.0000,2,0.0377,0.0189,15,0.2830,0.0377,4,0.0755,0.0189,5,0.0943,0.0000,11,0.2075,0.0566,0,0.0000,0.0000,5,0.0943,0.0377,2,0.0377,0.0189,0,0.0000,0.0000,3,0.0566,0.0189,2,0.0377,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0189,0.0000
137,0.010325,125,0.0529,0.0080,0,0.0000,0.0000,1,0.0182,0.0182,5,0.0909,0.0364,3,0.0545,0.0000,2,0.0364,0.0000,2,0.0364,0.0000,5,0.0909,0.0000,2,0.0364,0.0000,0,0.0000,0.0000,24,0.4364,0.0182,11,0.2000,0.0727,3,0.0545,0.0000,31,0.5636,0.1273,2,0.0364,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,3,0.0545,0.0182,1,0.0182,0.0000,6,0.1091,0.0182,0,0.0000,0.0000,3,0.0545,0.0000,0,0.0000,0.0000,2,0.0364,0.0000,0,0.0000,0.0000,4,0.0727,0.0000,1,0.0182,0.0000,1,0.0182,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,4,0.0727,0.0182,0,0.0000,0.0000,1,0.0182,0.0000,0,0.0000,0.0000,2,0.0364,0.0000,5,0.0909,0.0182,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0182,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
150,0.010145,90,0.0598,0.0106,1,0.0286,0.0000,1,0.0286,0.0000,2,0.0571,0.0000,9,0.2571,0.1429,1,0.0286,0.0000,1,0.0286,0.0000,1,0.0286,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,5,0.1429,0.0286,4,0.1143,0.0000,0,0.0000,0.0000,4,0.1143,0.0000,0,0.0000,0.0000,2,0.0571,0.0000,3,0.0857,0.0000,2,0.0571,0.0000,1,0.0286,0.0000,3,0.0857,0.0000,0,0.0000,0.0000,4,0.1143,0.0286,2,0.0571,0.0000,6,0.1714,0.0571,2,0.0571,0.0000,4,0.1143,0.0286,0,0.0000,0.0000,4,0.1143,0.0000,4,0.1143,0.0000,2,0.0571,0.0286,7,0.2000,0.0571,3,0.0857,0.0000,3,0.0857,0.0286,0,0.0000,0.0000,7,0.2000,0.0571,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,2,0.0571,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
112,0.009640,121,0.0521,0.0116,0,0.0000,0.0000,1,0.0185,0.0185,2,0.0370,0.0370,5,0.0926,0.0741,3,0.0556,0.0185,6,0.1111,0.0556,1,0.0185,0.0185,4,0.0741,0.0000,3,0.0556,0.0185,6,0.1111,0.0000,5,0.0926,0.0185,6,0.1111,0.0370,7,0.1296,0.0556,2,0.0370,0.0000,2,0.0370,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,2,0.0370,0.0000,6,0.1111,0.0185,0,0.0000,0.0000,5,0.0926,0.0185,3,0.0556,0.0000,4,0.0741,0.0000,1,0.0185,0.0000,8,0.1481,0.0185,0,0.0000,0.0000,6,0.1111,0.0000,3,0.0556,0.0000,4,0.0741,0.0000,2,0.0370,0.0000,3,0.0556,0.0000,3,0.0556,0.0000,2,0.0370,0.0000,10,0.1852,0.0370,0,0.0000,0.0000,3,0.0556,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,3,0.0556,0.0556,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
