source,target,weight
91,98,18
91,100,168
91,101,154
91,102,304
91,123,595
91,159,86
91,166,280
91,176,1
91,194,35
91,195,1043
91,196,1188
91,207,832
92,93,546
92,94,25
92,96,79
92,98,37
92,99,69
92,100,2142
92,101,37
92,102,1073
92,103,129
92,104,646
92,107,171
92,108,22
92,109,117
92,111,373
92,112,1441
92,119,40
92,126,326
92,127,347
92,128,1019
92,129,324
92,137,632
92,141,2
92,142,3
92,159,3
92,172,3
92,175,136
92,188,668
92,194,104
92,195,227
92,196,1870
92,206,832
93,94,107
93,100,74
93,101,70
93,108,1837
93,110,5
93,112,50
93,119,325
93,125,1019
93,126,2072
93,127,491
93,129,332
93,130,590
93,135,120
93,162,80
93,194,35
93,195,11
93,196,288
93,197,832
94,99,104
94,100,741
94,101,82
94,102,183
94,117,98
94,119,80
94,124,699
94,126,60
94,127,60
94,128,1019
94,129,60
94,161,136
94,163,82
94,197,832
95,97,16
95,102,154
95,103,112
95,109,136
95,116,13
95,119,10
95,123,1352
95,126,1
95,127,469
95,129,1
95,139,22
95,143,785
95,159,28
95,168,198
95,171,322
95,172,303
95,183,198
95,188,71
95,189,140
95,194,104
95,195,349
95,196,234
95,197,832
96,97,87
96,122,79
96,132,2
96,139,33
96,141,247
96,143,198
96,146,20
96,155,1809
96,160,161
96,173,35
96,182,204
96,194,1663
96,195,171
96,196,574
96,197,1664
97,98,37
97,102,32
97,109,6
97,116,3
97,123,390
97,126,1
97,127,137
97,129,1
97,139,2
97,143,198
97,146,136
97,149,47
97,156,323
97,188,56
97,194,104
97,195,7
97,196,287
98,99,37
98,100,1566
98,101,477
98,102,1268
98,103,374
98,107,198
98,113,327
98,114,14
98,119,68
98,121,68
98,126,20
98,127,1039
98,129,20
98,133,92
98,134,92
98,135,92
98,136,144
98,137,5
98,140,12
98,148,231
98,160,1
98,164,66
98,195,300
98,196,219
98,199,1664
98,206,832
99,100,59
99,101,37
99,102,218
99,103,174
99,113,154
99,119,106
99,126,149
99,127,10
99,128,173
99,129,10
99,131,154
99,132,490
99,140,420
99,152,71
99,181,116
99,184,158
99,194,35
99,195,890
99,196,526
100,101,2571
100,102,2379
100,103,885
100,104,372
100,107,61
100,108,22
100,110,277
100,112,297
100,119,106
100,124,233
100,126,5
100,127,1160
100,128,1019
100,129,5
100,144,34
100,145,34
100,151,68
100,155,132
100,160,100
100,172,92
100,188,78
100,191,5
100,194,70
100,195,212
100,196,282
101,102,2807
101,103,640
101,104,89
101,109,23
101,116,109
101,119,20
101,121,1781
101,124,233
101,126,573
101,127,1592
101,128,1136
101,129,573
101,156,68
101,174,1225
101,186,956
101,194,1732
101,195,1854
101,196,2209
101,208,52
102,103,2902
102,104,201
102,106,75
102,108,463
102,111,1413
102,112,150
102,119,650
102,124,233
102,126,1669
102,127,2222
102,129,1669
102,132,32
102,140,34
102,143,198
102,146,79
102,154,32
102,155,69
102,159,249
102,160,1278
102,179,38
102,194,104
102,195,4
102,196,386
103,104,1122
103,106,124
103,112,40
103,119,68
103,124,233
103,126,2499
103,127,2499
103,129,2499
103,134,9
103,138,50
103,143,136
103,146,84
103,152,315
103,172,9
103,177,361
103,196,106
104,108,136
104,112,108
104,119,765
104,123,6
104,126,10
104,127,10
104,129,10
104,137,257
104,142,247
104,146,89
104,148,132
104,184,7
104,188,882
104,196,40
105,152,4
105,177,29
105,206,1664
106,116,30
106,122,30
106,146,184
106,191,208
106,211,82
106,212,198
107,108,22
107,116,18
107,119,106
107,121,223
107,126,106
107,127,106
107,129,1168
107,132,82
107,136,136
107,137,976
107,140,122
107,143,1732
107,148,5
107,182,392
107,194,70
107,195,93
107,196,286
107,206,2496
108,109,331
108,119,102
108,124,233
108,125,4075
108,126,298
