NodeId,X,Y
0,903.63,659.66534
1,551.3352,446.6211
2,531.2632,434.9176
3,412.17847,407.2893
4,382.85538,436.7647
5,812.5991,611.72296
6,466.6657,461.01123
7,450.07706,536.5701
8,407.0667,376.27148
9,602.8702,427.07233
10,567.2171,507.97736
11,434.15222,420.5899
12,846.26074,584.1728
13,767.4645,616.6785
14,497.82416,414.64252
15,863.7398,631.2483
16,406.27402,412.59235
17,383.43726,363.44336
18,507.36423,438.1432
19,589.6633,523.9763
20,343.46506,381.6136
21,493.89178,434.4178
22,926.8259,630.09625
23,835.924,573.94934
24,957.73456,630.5805
25,631.31854,445.67212
26,608.77075,368.10992
27,682.7521,311.40063
28,894.69904,585.8715
29,708.98627,445.99628
30,586.6681,303.65692
31,559.5045,366.3916
32,620.9233,413.65063
33,553.479,508.52405
34,690.449,385.54987
35,842.8829,575.04285
36,450.1512,603.51843
37,596.5401,470.23102
38,392.54773,547.145
39,460.06616,569.439
40,921.2378,700.00464
41,725.61005,416.64197
42,538.88196,417.07935
43,618.57245,369.0901
44,586.5861,454.1383
45,672.82935,472.81622
46,512.062,434.21472
47,797.5569,523.41016
48,305.38297,409.10516
49,380.7896,581.03314
50,699.07916,440.4237
51,784.8381,653.1869
52,425.6704,420.73444
53,566.9827,412.50256
54,701.63696,483.0865
55,537.86273,425.74463
56,469.3524,593.9745
57,502.27982,507.18073
58,504.16205,539.3584
59,835.6038,633.88806
60,398.86612,399.94
61,604.49475,510.2774
62,408.24606,487.05792
63,663.78906,473.65576
64,753.7773,580.36536
65,551.01886,482.82098
66,617.6509,411.10455
67,536.6952,480.97003
68,743.8077,299.27155
69,634.0755,500.16718
70,424.36224,426.31873
71,811.701,632.7322
72,944.65643,569.8803
73,941.14185,638.7499
74,668.2331,431.58655
75,607.94293,562.37476
76,781.78827,302.0481
77,767.83936,349.7561
78,786.34937,381.90253
79,561.2853,511.06226
80,664.68726,312.2793
81,779.9489,314.75507
82,602.9054,562.36304
83,647.8955,489.36194
84,825.6889,638.2071
85,822.0221,542.2364
86,710.7787,593.2677
87,770.3698,650.49243
88,708.0841,567.78326
89,719.04956,614.1012
90,789.0399,638.29297
91,734.8065,560.09424
92,804.77734,600.91766
93,996.0041,617.2994
94,420.793,519.7901
95,367.59833,634.4153
96,696.7986,170.40466
97,632.7986,204.31616
98,630.3071,471.8985
99,584.8992,433.31653
100,516.7364,499.97192
101,797.7833,654.92456
102,724.44244,619.2871
103,785.62695,588.83545
104,763.8328,492.28674
105,776.4656,225.26288
106,642.6198,623.2858
107,342.70358,398.9911
108,730.8194,505.99744
109,798.3379,610.9615
110,809.1861,620.1579
111,759.92773,549.78485
112,756.14374,254.20715
113,715.4023,460.11304
114,774.9505,634.10675
115,665.53467,459.01965
116,774.0445,496.7464
117,460.5504,454.75922
118,416.72784,398.24127
119,795.7449,575.64026
120,410.7531,383.69885
121,560.49255,465.50592
122,729.4605,465.88477
123,990.1582,573.6721
124,819.13617,486.7494
125,769.44824,506.3333
126,801.3369,479.5993
127,966.22797,609.7119
128,760.74,480.00934
129,784.1039,629.7019
130,551.9795,424.3974
131,737.2862,285.96313
132,787.3022,237.21234
133,637.07074,190.62115
134,416.2046,564.24915
135,751.82477,268.64026
136,793.98376,214.26233
137,791.7617,272.75623
138,493.4466,440.62286
139,736.81366,263.6964
140,738.75836,488.90894
141,822.6312,275.98572
142,762.4504,286.61133
143,821.5886,264.21198
144,888.6189,616.0615
145,769.43646,377.30634
146,308.85065,570.30206
147,406.4966,474.19464
148,606.1856,222.72455
149,949.6315,590.28424
150,820.08514,246.27997
151,850.4118,165.00781
152,822.04156,151.44958
153,929.8485,604.9594
154,624.40265,431.14142
155,616.63165,225.20044
156,860.7876,590.7333
157,781.9366,164.98828
158,1009.6132,588.3005
159,819.99927,626.37085
160,425.91644,396.83936
161,950.3266,622.2783
162,597.72723,337.7793
163,716.3278,519.91895
164,490.15466,589.60474
165,525.8429,429.08344
166,642.0887,185.87646
167,622.1729,191.89813
168,464.2993,465.03735
169,685.4544,451.36182
170,851.01715,169.7915
171,564.5616,479.8258
172,318.8632,629.64325
173,1035.7537,592.6272
174,667.39734,413.05322
175,716.73,196.55292
176,741.8669,228.57825
177,847.3151,269.12842
178,894.64044,663.6564
179,408.5858,422.4917
180,571.2666,396.05444
181,626.57,518.87634
182,646.59515,529.91595
183,389.93137,541.26404
184,1002.1819,626.57385
185,727.3908,363.11536
186,504.20502,302.37994
187,504.12692,315.73914
188,657.8066,175.87183
189,665.316,187.169
190,971.6521,619.57214
191,518.0719,452.38495
192,848.44763,618.7716
193,613.6521,478.09583
194,817.664,551.5382
195,554.37335,404.24725
196,703.5504,422.88226
197,742.0933,159.08374
198,532.27844,536.1445
199,759.4123,166.26135
200,584.4227,257.90137
201,510.10556,322.29968
202,797.8185,524.359
203,632.4042,494.2862
204,423.00327,611.8206
205,547.3716,578.79944
206,582.4741,315.23926
207,634.3762,645.9079
208,390.78656,400.2251
209,347.92075,623.9693
210,424.07718,594.84924
211,977.82996,623.4225
212,506.4036,426.70526
213,796.13153,151.73059
214,302.43854,604.9048
215,659.17725,603.0186
216,540.8696,262.75922
217,983.0744,607.37274
218,656.7483,506.9347
219,575.0662,317.94165
220,666.53436,571.6727
221,1040.0024,609.2003
222,602.6047,229.73413
223,517.19714,424.56146
224,631.752,575.23804
225,471.08624,430.2354
226,469.65698,560.94946
227,590.3233,485.6053
228,659.97,537.9213
229,631.90045,217.04272
230,587.5429,238.48932
231,1036.7416,579.8187
232,651.2773,328.91095
233,558.16125,598.25446
234,544.50916,331.7577
235,837.76337,279.19562
236,650.9103,614.77673
237,659.24365,326.38434
238,565.27234,482.44604
239,532.96576,447.81207
240,564.6514,575.0389
241,532.9463,267.92175
242,530.79456,458.13318
243,603.63947,339.40375
244,569.3102,347.37793
245,516.2405,275.86072
246,659.8216,353.10278
247,812.4702,652.0427
248,809.15485,652.0388
249,544.44666,464.24854
250,447.2576,571.5399
251,428.17358,430.95007
252,916.2276,604.87354
253,687.6686,551.6632
254,606.4824,617.02606
255,576.9914,535.89844
256,593.62305,243.63617
257,691.4916,179.19885
258,430.84854,1150
259,727.1526,241.49225
260,668.48303,323.53754
261,377.14618,539.49506
262,575.58167,519.88
263,688.5589,533.90686
264,312.54483,546.95374
265,565.3465,317.96503
266,555.0879,525.6282
267,630.2954,553.40875
268,511.78085,286.95105
269,620.24384,505.74756
270,194.97917,690.37866
271,986.43665,591.7057
272,715.949,253.18408
273,407.70328,548.73047
274,345.65582,633.4351
275,583.9112,511.80823
276,826.5675,291.80505
277,538.38605,514.53394
278,611.5668,358.6479
279,580.13104,358.523
280,351.33374,551.2805
281,517.25183,544.1304
282,588.3395,534.1295
283,431.62564,425.92816
284,763.5868,156.36987
285,618.67004,536.8279
286,346.01117,537.5738
287,640.34705,396.69495
288,615.00323,613.23035
289,640.4915,578.9557
290,531.1929,290.25476
291,516.6856,280.78107
292,366.25885,369.63678
293,683.16595,578.3855
294,634.6965,261.59943
295,568.5018,377.29852
296,752.57837,479.37665
297,313.0798,541.2523
298,598.9964,632.4745
299,538.1752,467.58734
300,676.0627,270.94818
301,683.08405,315.583
302,397.53058,632.041
303,579.24854,414.4864
304,392.62192,427.65027
305,399.95172,345.8432
306,409.32385,538.9132
307,368.52774,364.54065
308,383.8473,427.45502
309,574.79675,475.3623
310,516.88086,270.48737
311,311.47873,421.20306
312,377.74756,627.1948
313,419.42624,618.95123
314,559.12573,358.5581
315,493.55203,430.36823
316,638.3399,375.90826
317,493.2279,419.5785
318,486.53854,537.2965
319,309.56134,556.3336
320,670.9509,601.7768
321,781.60077,623.899
322,534.8871,458.2035
323,606.72064,544.1304
324,556.1111,503.27173
325,564.1867,551.8233
326,675.27386,187.89923
327,448.88208,409.47223
328,362.6389,563.6869
329,351.89996,627.38617
330,806.0191,330.30115
331,807.60846,627.24554
332,438.16663,519.84863
333,306.87466,392.11816
334,492.93893,534.848
335,776.9577,574.8241
336,839.01685,153.67554
337,353.50104,574.28906
338,398.2257,553.08075
339,430.8095,542.88855
340,405.67654,540.48694
341,603.4599,391.99323
342,809.5844,630.3618
343,407.50412,392.74298
344,348.29172,382.16815
345,740.3946,445.54327
346,581.54083,393.5943
347,463.3035,542.4629
348,683.58386,403.5561
349,355.684,641.84265
350,411.77625,433.73053
351,787.18506,623.6998
352,365.85275,389.68536
353,761.26715,599.2346
354,887.5294,661.9225
355,404.9463,436.1242
356,725.5046,168.92456
357,373.94794,341.05566
358,399.98297,458.22296
359,465.17007,461.57745
360,455.04428,491.22852
361,447.44113,505.27893
362,388.2756,394.07074
363,394.26984,455.03253
364,608.11475,531.1655
365,695.2873,510.87488
366,600.9997,200.68054
367,1016.63837,605.3187
368,431.30542,428.38055
369,334.95206,603.2568
370,645.4471,358.99158
371,360.6239,440.89233
372,848.27185,157.4867
373,1008.8712,616.741
374,404.6534,602.4524
375,296.95978,416.43103
376,635.6805,514.3309
377,69.583855,619.41595
378,867.2856,160.93091
379,923.81915,559.3327
380,382.4063,580.6895
381,50,605.07654
382,424.96753,425.25653
383,548.12915,378.04047
384,388.31076,356.3791
385,419.91827,429.16156
386,837.5681,490.2796
387,558.7313,566.5532
388,523.39844,403.15778
389,608.2397,650.96106
390,471.19168,549.14056
391,433.30872,416.0913
392,754.4216,640.0503
393,499.76108,532.75104
394,491.25977,509.87128
395,600.52716,528.68976
396,552.331,447.64032
397,538.015,523.742
398,430.84854,1150
399,414.04507,500.8037
400,489.9789,464.33447
401,528.6117,537.8159
402,368.68784,468.919
403,723.57556,591.94
404,401.93158,423.63983
405,433.09784,456.04004
406,841.7973,222.29498
407,694.065,553.86566
408,449.77246,428.22046
409,518.6655,461.4525
410,628.6358,338.02142
411,424.96362,540.15497
412,642.28394,317.35974
413,305.15256,400.69366
414,513.51074,508.39514
415,554.46313,552.1825
416,475.30762,506.3333
417,648.2665,50
